Gene Symbol /Region Name,HGNC/Dosage ID,GRCh37,GRCh38,HI Score,TS Score,LastEvaluated Date
PAFAH1B1,HGNC:8574,17:2496948-2588909,17:2593183-2685615,SufficientEvidence,NoEvidence,10/13/2020
PAK3,HGNC:8592,X:110187625-110470589,X:110944397-111227361,SufficientEvidence,NoEvidence,4/1/2025
PALB2,HGNC:26144,16:23614486-23652631,16:23603165-23641310,SufficientEvidence,NoEvidence,2/24/2025
PAX2,HGNC:8616,10:102495153-102589701,10:100735396-100829944,SufficientEvidence,NoEvidence,2/26/2020
PAX3,HGNC:8617,2:223064606-223163717,2:222199887-222298998,SufficientEvidence,NoEvidence,5/27/2020
PAX6,HGNC:8620,11:31810574-31839509,11:31789026-31817961,SufficientEvidence,LittleEvidence,11/5/2015
PAX9,HGNC:8623,14:37126773-37148567,14:36657568-36679362,SufficientEvidence,NoEvidence,7/8/2020
PBX1,HGNC:8632,1:164528421-164855284,1:164559184-164886047,SufficientEvidence,NoEvidence,9/5/2019
PCDH19,HGNC:14270,X:99546642-99665271,X:100291644-100410273,SufficientEvidence,NoEvidence,2/14/2023
PDHA1,HGNC:8806,X:19362045-19379836,X:19343927-19361718,SufficientEvidence,NoEvidence,9/27/2022
PHEX,HGNC:8918,X:22050443-22269427,X:22032325-22251310,SufficientEvidence,NoEvidence,6/28/2012
PHF12,HGNC:20816,17:27232268-27278536,17:28905250-28951518,SufficientEvidence,NoEvidence,4/1/2025
PHF21A,HGNC:24156,11:45950870-46143005,11:45929319-46121454,SufficientEvidence,NoEvidence,9/21/2023
PHF6,HGNC:18145,X:133507342-133562820,X:134373312-134428790,SufficientEvidence,NoEvidence,2/24/2021
PHF8,HGNC:20672,X:53963113-54071569,X:53936680-54048936,SufficientEvidence,NoEvidence,8/26/2020
PHIP,HGNC:15673,6:79644136-79787971,6:78934419-79078254,SufficientEvidence,NoEvidence,4/13/2022
PHOX2B,HGNC:9143,4:41746099-41750742,4:41744082-41748725,SufficientEvidence,NoEvidence,7/10/2024
PITX2,HGNC:9005,4:111538579-111563279,4:110617423-110642123,SufficientEvidence,NoEvidence,10/24/2022
PKD1,HGNC:9008,16:2138709-2185899,16:2088708-2135898,SufficientEvidence,NoEvidence,6/10/2020
PKD2,HGNC:9009,4:88928787-88998929,4:88007635-88077777,SufficientEvidence,NoEvidence,7/6/2012
PKP2,HGNC:9024,12:32943689-33049711,12:32790755-32896777,SufficientEvidence,NoEvidence,5/10/2023
PLP1,HGNC:9086,X:103031434-103047548,X:103776506-103792619,SufficientEvidence,SufficientEvidence,4/12/2021
PMP22,HGNC:9118,17:15133096-15168643,17:15229779-15265326,SufficientEvidence,NoEvidence,7/12/2012
PMS2,HGNC:9122,7:6010556-6048737,7:5970925-6009106,SufficientEvidence,NoEvidence,11/16/2015
POGZ,HGNC:18801,1:151375200-151431970,1:151402724-151459494,SufficientEvidence,NoEvidence,12/27/2017
POLR1D,HGNC:20422,13:28194880-28241548,13:27620743-27667411,SufficientEvidence,NoEvidence,6/23/2021
PORCN,HGNC:17652,X:48367380-48379202,X:48508992-48520814,SufficientEvidence,NoEvidence,8/23/2012
POU3F4,HGNC:9217,X:82763298-82767135,X:83508290-83512127,SufficientEvidence,NoEvidence,5/28/2025
POU4F3,HGNC:9220,5:145718402-145721291,5:146338839-146341728,SufficientEvidence,NoEvidence,11/29/2023
PQBP1,HGNC:9330,X:48755213-48760420,X:48897930-48903143,SufficientEvidence,NoEvidence,4/9/2020
PRKAR1A,HGNC:9388,17:66409764-66547457,17:68413623-68551316,SufficientEvidence,NoEvidence,10/9/2024
PRKCSH,HGNC:9411,19:11546456-11561783,19:11435635-11450968,SufficientEvidence,NoEvidence,7/8/2025
PRPS1,HGNC:9462,X:106871740-106894256,X:107628510-107651026,SufficientEvidence,NoEvidence,5/17/2012
PRR12,HGNC:29217,19:50094439-50129696,19:49591182-49626439,SufficientEvidence,NoEvidence,11/29/2023
PRRT2,HGNC:30500,16:29823514-29827202,16:29812193-29815881,SufficientEvidence,NoEvidence,10/28/2025
PTCH1,HGNC:9585,9:98205262-98279253,9:95442980-95516971,SufficientEvidence,NoEvidence,7/1/2020
PTCHD1,HGNC:26392,X:23352966-23422491,X:23334396-23404374,SufficientEvidence,NoEvidence,2/28/2018
PTEN,HGNC:9588,10:89623382-89731687,10:87863625-87971930,SufficientEvidence,NoEvidence,6/24/2020
PTH1R,HGNC:9608,3:46919211-46945289,3:46877721-46903799,SufficientEvidence,NoEvidence,6/28/2024
PTHLH,HGNC:9607,12:28111017-28125666,12:27958084-27972733,SufficientEvidence,LittleEvidence,1/25/2023
PTPN11,HGNC:9644,12:112856751-112947722,12:112418947-112509918,SufficientEvidence,NoEvidence,9/8/2020
PUF60,HGNC:17042,8:144898514-144911485,8:143816344-143829315,SufficientEvidence,NoEvidence,1/9/2024
PURA,HGNC:9701,5:139493694-139505204,5:140114109-140125619,SufficientEvidence,NoEvidence,3/26/2025
QRICH1,HGNC:24713,3:49067140-49131806,3:49029707-49094373,SufficientEvidence,NoEvidence,11/15/2023
RAB39B,HGNC:16499,X:154487520-154493776,X:155258235-155264491,SufficientEvidence,NoEvidence,5/29/2020
RAD21,HGNC:9811,8:117858173-117887015,8:116845934-116874776,SufficientEvidence,NoEvidence,3/8/2022
RAD51C,HGNC:9820,17:56769934-56812972,17:58692573-58735611,SufficientEvidence,NoEvidence,7/8/2020
RAD51D,HGNC:9823,17:33419240-33446879,17:35092221-35119860,SufficientEvidence,NoEvidence,1/9/2024
RAI1,HGNC:9834,17:17584772-17714767,17:17681458-17811453,SufficientEvidence,NoEvidence,10/13/2020
RASA1,HGNC:9871,5:86563700-86687733,5:87267883-87391916,SufficientEvidence,NoEvidence,4/22/2020
RB1,HGNC:9884,13:48877887-49056026,13:48303751-48481890,SufficientEvidence,NoEvidence,3/9/2021
RET,HGNC:9967,10:43572517-43625799,10:43077069-43130351,SufficientEvidence,NoEvidence,8/26/2020
RORB,HGNC:10259,9:77112251-77308093,9:74497335-74693177,SufficientEvidence,NoEvidence,1/14/2025
RP2,HGNC:10274,X:46696478-46741793,X:46837043-46882358,SufficientEvidence,NoEvidence,10/4/2012
RPS17,HGNC:10397,15:83205501-83209208,15:82536750-82540457,SufficientEvidence,NoEvidence,12/10/2015
RPS19,HGNC:10402,19:42364325-42376993,19:41860255-41872925,SufficientEvidence,NoEvidence,3/24/2021
RPS24,HGNC:10411,10:79793621-79816564,10:78033863-78056806,SufficientEvidence,NoEvidence,4/9/2025
RPS26,HGNC:10414,12:56435702-56438481,12:56041918-56044697,SufficientEvidence,NoEvidence,10/23/2019
RPS6KA3,HGNC:10432,X:20168029-20285027,X:20149911-20267097,SufficientEvidence,NoEvidence,6/14/2022
RS1,HGNC:10457,X:18657808-18690228,X:18639688-18672108,SufficientEvidence,NoEvidence,8/2/2021
RUNX1,HGNC:10471,21:36160098-36421599,21:34787801-35049302,SufficientEvidence,NoEvidence,6/14/2023
SALL4,HGNC:15924,20:50398870-50419060,20:51782331-51802521,SufficientEvidence,NoEvidence,1/11/2021
SATB2,HGNC:21637,2:200134223-200335989,2:199269500-199471266,SufficientEvidence,NoEvidence,7/15/2020
SCN1A,HGNC:10585,2:166841151-167005671,2:165984641-166149161,SufficientEvidence,NoEvidence,7/6/2012
SCN2A,HGNC:10588,2:166095924-166248814,2:165239414-165392304,SufficientEvidence,NoEvidence,4/22/2020
SCN5A,HGNC:10593,3:38589553-38691178,3:38548062-38649687,SufficientEvidence,NoEvidence,6/8/2021
SDHAF2,HGNC:26034,11:61197596-61214205,11:61430124-61446733,SufficientEvidence,NoEvidence,5/11/2022
SDHB,HGNC:10681,1:17345217-17380527,1:17018722-17054032,SufficientEvidence,NoEvidence,7/22/2020
SDHC,HGNC:10682,1:161284171-161345130,1:161314381-161363206,SufficientEvidence,NoEvidence,10/13/2021
SDHD,HGNC:10683,11:111957597-111966518,11:112086873-112095794,SufficientEvidence,NoEvidence,8/11/2021
SET,HGNC:10760,9:131445703-131458675,9:128683424-128696396,SufficientEvidence,NoEvidence,1/22/2025
SETBP1,HGNC:15573,18:42260038-42648475,18:44680073-45068510,SufficientEvidence,NoEvidence,5/23/2018
SETD1A,HGNC:29010,16:30969075-30995985,16:30957754-30984664,SufficientEvidence,NoEvidence,2/28/2018
SETD1B,HGNC:29187,12:122241915-122270562,12:121790155-121832656,SufficientEvidence,NoEvidence,8/28/2024
SETD2,HGNC:18420,3:47057926-47205603,3:47016436-47164840,SufficientEvidence,NoEvidence,3/8/2022
SETD5,HGNC:25566,3:9439299-9519838,3:9397615-9478154,SufficientEvidence,NoEvidence,11/6/2014
SF3B4,HGNC:10771,1:149895209-149899695,1:149923317-149927803,SufficientEvidence,NoEvidence,7/17/2014
SGCE,HGNC:10808,7:94214292-94285445,7:94584980-94656133,SufficientEvidence,NoEvidence,11/11/2021
SH2D1A,HGNC:10820,X:123480413-123507010,X:124346563-124373160,SufficientEvidence,NoEvidence,1/27/2021
SHANK2,HGNC:14295,11:70313959-70963623,11:70467854-71253228,SufficientEvidence,NoEvidence,10/26/2023
SHANK3,HGNC:14294,22:51111251-51171640,22:50672823-50733212,SufficientEvidence,NoEvidence,8/14/2018
SHH,HGNC:10848,7:155592674-155605157,7:155799980-155812463,SufficientEvidence,NoEvidence,6/24/2020
SHOX,HGNC:10853,X:585079-620146,X:624344-659411,SufficientEvidence,NoEvidence,10/15/2015
SIN3A,HGNC:19353,15:75661720-75748156,15:75369379-75455815,SufficientEvidence,NoEvidence,1/13/2020
SIX3,HGNC:10889,2:45168841-45173210,2:44941702-44946071,SufficientEvidence,NoEvidence,9/23/2020
SLC16A2,HGNC:10923,X:73641328-73753751,X:74421493-74533916,SufficientEvidence,NoEvidence,6/28/2012
SLC2A1,HGNC:11005,1:43391024-43424539,1:42925353-42958868,SufficientEvidence,NoEvidence,3/24/2016
SLC35A2,HGNC:11022,X:48760460-48769235,X:48903183-48911958,SufficientEvidence,NoEvidence,1/24/2018
SLC6A1,HGNC:11042,3:11034434-11080933,3:10992748-11039247,SufficientEvidence,NoEvidence,9/25/2019
SLC6A8,HGNC:11055,X:152953381-152962048,X:153687926-153696593,SufficientEvidence,NoEvidence,11/10/2020
SLC9A6,HGNC:11079,X:135067594-135129428,X:135973837-136047269,SufficientEvidence,NoEvidence,12/8/2020
SMAD3,HGNC:6769,15:67357940-67487507,15:67065602-67195169,SufficientEvidence,NoEvidence,4/22/2020
SMAD4,HGNC:6770,18:48556583-48611412,18:51030213-51085042,SufficientEvidence,NoEvidence,12/16/2020
SMARCA4,HGNC:11100,19:11071706-11172949,19:10961030-11062273,SufficientEvidence,NoEvidence,7/24/2024
SMARCB1,HGNC:11103,22:24129153-24180196,22:23786966-23838009,SufficientEvidence,NoEvidence,4/22/2020
SMARCE1,HGNC:11109,17:38781214-38804070,17:40624962-40647818,SufficientEvidence,NoEvidence,12/11/2024
SMC1A,HGNC:11111,X:53401070-53449677,X:53374149-53422728,SufficientEvidence,NoEvidence,7/23/2018
SMS,HGNC:11123,X:21958827-22012955,X:21940709-21994837,SufficientEvidence,NoEvidence,8/23/2012
SON,HGNC:11183,21:34915344-34949787,21:33543038-33577481,SufficientEvidence,NoEvidence,4/24/2019
SOX10,HGNC:11190,22:38368319-38380562,22:37972312-37984555,SufficientEvidence,NoEvidence,7/18/2013
SOX11,HGNC:11191,2:5832516-5841517,2:5692384-5701385,SufficientEvidence,NoEvidence,11/21/2024
SOX2,HGNC:11195,3:181429713-181432224,3:181711925-181714436,SufficientEvidence,NoEvidence,7/6/2012
SOX5,HGNC:11201,12:23682438-24715425,12:23529504-24562650,SufficientEvidence,NoEvidence,8/19/2016
SOX9,HGNC:11204,17:70117161-70122557,17:72121020-72126416,SufficientEvidence,NoEvidence,5/10/2023
SPAST,HGNC:11233,2:32288625-32382706,2:32063556-32157637,SufficientEvidence,NoEvidence,9/25/2019
SPEN,HGNC:17575,1:16174202-16266951,1:15847707-15940456,SufficientEvidence,NoEvidence,1/13/2026
SPINK1,HGNC:11244,5:147204145-147218759,5:147824582-147839196,SufficientEvidence,NoEvidence,10/25/2021
SPRED1,HGNC:20249,15:38545037-38649450,15:38252836-38357249,SufficientEvidence,NoEvidence,3/14/2013
SPTAN1,HGNC:11273,9:131314866-131395941,9:128552587-128633662,SufficientEvidence,NoEvidence,9/24/2025
SRCAP,HGNC:16974,16:30710492-30752730,16:30699171-30741409,SufficientEvidence,NoEvidence,11/26/2025
SRRM2,HGNC:16639,16:2802639-2821413,16:2752638-2771412,SufficientEvidence,NoEvidence,2/13/2024
SRSF1,HGNC:10780,17:56078280-56084607,17:57989038-58007246,SufficientEvidence,NoEvidence,6/19/2025
SRY,HGNC:11311,Y:2654896-2655723,Y:2786855-2787682,SufficientEvidence,NoEvidence,12/22/2020
STAG1,HGNC:11354,3:136055078-136471220,3:136336236-136752378,SufficientEvidence,NoEvidence,1/22/2025
STAG2,HGNC:11355,X:123094410-123236506,X:123960560-124102656,SufficientEvidence,NoEvidence,1/25/2023
STK11,HGNC:11389,19:1205777-1228430,19:1205778-1228431,SufficientEvidence,NoEvidence,11/10/2021
STS,HGNC:11425,X:7065331-7272682,X:7147290-7354641,SufficientEvidence,NoEvidence,9/14/2018
STXBP1,HGNC:11444,9:130374191-130458308,9:127611912-127696029,SufficientEvidence,NoEvidence,6/20/2013
SUFU,HGNC:16466,10:104263729-104393292,10:102502819-102633535,SufficientEvidence,NoEvidence,1/14/2026
SYN1,HGNC:11494,X:47431300-47479256,X:47571901-47619857,SufficientEvidence,NoEvidence,7/12/2022
SYNCRIP,HGNC:16918,6:86317502-86352604,6:85607784-85643870,SufficientEvidence,NoEvidence,4/15/2024
SYNGAP1,HGNC:11497,6:33387842-33421466,6:33418167-33453689,SufficientEvidence,NoEvidence,11/9/2021
TAOK1,HGNC:29259,17:27717381-27878921,17:29390363-29551903,SufficientEvidence,NoEvidence,6/28/2023
TBL1XR1,HGNC:29529,3:176737132-176915270,3:177019344-177201800,SufficientEvidence,LittleEvidence,3/27/2019
TBR1,HGNC:11590,2:162272808-162282381,2:161416297-161425870,SufficientEvidence,NoEvidence,1/24/2018
TBX22,HGNC:11600,X:79270252-79287273,X:80014753-80031774,SufficientEvidence,NoEvidence,3/28/2023
TBX3,HGNC:11602,12:115108060-115121980,12:114670255-114684175,SufficientEvidence,NoEvidence,9/23/2020
TBX4,HGNC:11603,17:59529783-59562471,17:61452422-61485110,SufficientEvidence,NoEvidence,12/11/2019
TBX5,HGNC:11604,12:114791716-114846247,12:114353911-114408442,SufficientEvidence,NoEvidence,7/29/2020
TCF12,HGNC:11623,15:57210288-57583508,15:56918090-57291310,SufficientEvidence,NoEvidence,8/16/2023
TCF20,HGNC:11631,22:42556019-42679933,22:42160013-42343537,SufficientEvidence,NoEvidence,6/26/2019
TCF4,HGNC:11634,18:52889416-53303188,18:55222185-55635957,SufficientEvidence,NoEvidence,7/8/2020
TCOF1,HGNC:11654,5:149737260-149779856,5:150357697-150400293,SufficientEvidence,NoEvidence,4/28/2021
TERC,HGNC:11727,3:169482398-169482848,3:169764610-169765060,SufficientEvidence,NoEvidence,1/21/2026
TFAP2B,HGNC:11743,6:50786584-50815332,6:50818355-50847619,SufficientEvidence,NoEvidence,4/11/2023
TGFBR1,HGNC:11772,9:101867395-101916474,9:99103647-99154192,SufficientEvidence,NoEvidence,2/13/2024
TGIF1,HGNC:11776,18:3412007-3459976,18:3412009-3459978,SufficientEvidence,NoEvidence,5/10/2012
TIMM8A,HGNC:11817,X:100600649-100603730,X:101345661-101348742,SufficientEvidence,NoEvidence,3/24/2021
TMEM127,HGNC:26038,2:96914252-96931735,2:96248514-96265997,SufficientEvidence,NoEvidence,7/13/2021
TNRC6B,HGNC:29190,22:40440838-40731812,22:40044834-40335808,SufficientEvidence,NoEvidence,6/26/2019
TP53,HGNC:11998,17:7571739-7590808,17:7668421-7687490,SufficientEvidence,NoEvidence,11/10/2021
TRAPPC2,HGNC:23068,X:13730364-13752739,X:13712245-13734620,SufficientEvidence,NoEvidence,1/16/2014
TRIO,HGNC:12303,5:14143451-14510313,5:14143342-14510204,SufficientEvidence,NoEvidence,1/24/2018
TRIP12,HGNC:12306,2:230628553-230787902,2:229763837-229923186,SufficientEvidence,NoEvidence,4/2/2018
TRPS1,HGNC:12340,8:116420724-116681202,8:115408496-115668975,SufficientEvidence,NoEvidence,7/8/2020
TSC1,HGNC:12362,9:135766736-135820003,9:132891349-132945378,SufficientEvidence,NoEvidence,10/13/2020
TSC2,HGNC:12363,16:2097986-2139492,16:2047985-2089491,SufficientEvidence,NoEvidence,6/10/2020
TWIST1,HGNC:12428,7:19152670-19157259,7:19113047-19117636,SufficientEvidence,NoEvidence,12/16/2020
UBE2A,HGNC:12472,X:118708526-118718386,X:119574563-119584423,SufficientEvidence,NoEvidence,5/22/2019
UBE3A,HGNC:12496,15:25578875-25684203,15:25333728-25439056,SufficientEvidence,NoEvidence,8/23/2012
UPF3B,HGNC:20439,X:118967985-118986926,X:119805311-119852963,SufficientEvidence,NoEvidence,2/9/2021
USP7,HGNC:12630,16:8985954-9057763,16:8892097-8963906,SufficientEvidence,NoEvidence,4/22/2024
USP9X,HGNC:12632,X:40944698-41095832,X:41085445-41236579,SufficientEvidence,NoEvidence,11/27/2024
VHL,HGNC:12687,3:10183462-10195351,3:10141778-10153667,SufficientEvidence,NoEvidence,5/11/2022
WAC,HGNC:17327,10:28821708-28912041,10:28532779-28623112,SufficientEvidence,NoEvidence,2/28/2018
WAS,HGNC:12731,X:48542188-48549818,X:48676636-48691427,SufficientEvidence,NoEvidence,10/9/2025
WDFY3,HGNC:20751,4:85590750-85887843,4:84669597-84966690,SufficientEvidence,NoEvidence,10/10/2023
WDR26,HGNC:21208,1:224572848-224622499,1:224385146-224434797,SufficientEvidence,NoEvidence,4/27/2022
WDR45,HGNC:28912,X:48932101-48958116,X:49074442-49101178,SufficientEvidence,NoEvidence,4/9/2015
WT1,HGNC:12796,11:32409321-32457085,11:32387775-32435539,SufficientEvidence,NoEvidence,1/25/2022
XIAP,HGNC:592,X:122993558-123047822,X:123859708-123913972,SufficientEvidence,NoEvidence,7/27/2022
XIST,HGNC:12810,X:73040486-73072588,X:73820651-73852753,SufficientEvidence,NoEvidence,4/22/2020
ZBTB18,HGNC:13030,1:244211955-244220778,1:244048491-244057476,SufficientEvidence,NoEvidence,4/24/2019
ZC4H2,HGNC:24931,X:64135687-64254621,X:64915807-65034741,SufficientEvidence,NoEvidence,4/22/2020
ZDHHC9,HGNC:18475,X:128937264-128977862,X:129803288-129843886,SufficientEvidence,NoEvidence,10/12/2021
ZEB2,HGNC:14881,2:145141648-145277686,2:144384081-144520119,SufficientEvidence,NoEvidence,6/24/2020
ZFHX4,HGNC:30939,8:77593482-77779517,8:76681247-76867281,SufficientEvidence,NoEvidence,9/9/2025
ZIC2,HGNC:12873,13:100634038-100639019,13:99981784-99986765,SufficientEvidence,NoEvidence,8/24/2022
ZIC3,HGNC:12874,X:136648286-136659850,X:137566127-137577691,SufficientEvidence,NoEvidence,12/2/2020
ZMYND11,HGNC:16966,10:176028-300577,10:130088-254637,SufficientEvidence,NoEvidence,3/28/2018
ZNF462,HGNC:21684,9:109625447-109775915,9:106860158-107013634,SufficientEvidence,NoEvidence,1/16/2020
CDC42BPB,HGNC:1738,14:103398717-103523886,14:102932380-103057549,EmergingEvidence,NoEvidence,7/23/2025
DSCAM,HGNC:3039,21:41382926-42219084,21:40010999-40847158,EmergingEvidence,NoEvidence,10/10/2023
DSG2,HGNC:3049,18:29078140-29128971,18:31498177-31549008,EmergingEvidence,NoEvidence,12/13/2022
FTSJ1,HGNC:13254,X:48334409-48344752,X:48476021-48486364,EmergingEvidence,NoEvidence,3/22/2023
JARID2,HGNC:6196,6:15246300-15522273,6:15246069-15522042,EmergingEvidence,NoEvidence,6/11/2024
NLGN4X,HGNC:14287,X:5808083-6146908,X:5890042-6228867,EmergingEvidence,NoEvidence,3/26/2025
POT1,HGNC:17284,7:124462440-124569879,7:124822386-124929825,EmergingEvidence,NoEvidence,5/30/2025
RNF43,HGNC:18505,17:56429861-56494895,17:58352500-58417534,EmergingEvidence,NoEvidence,1/14/2026
RPS10,HGNC:10383,6:34385231-34393846,6:34417454-34426069,EmergingEvidence,NoEvidence,12/11/2025
RPS7,HGNC:10440,2:3622850-3628510,2:3575260-3580920,EmergingEvidence,NoEvidence,10/16/2025
TBX20,HGNC:11598,7:35242042-35293711,7:35202430-35254100,EmergingEvidence,NoEvidence,5/10/2023
TTN,HGNC:12403,2:179390716-179672150,2:178525989-178807423,EmergingEvidence,NoEvidence,1/5/2026
UROD,HGNC:12591,1:45477926-45481247,1:45012254-45015575,EmergingEvidence,NoEvidence,10/4/2024
ACSL4,HGNC:3571,X:108884564-108976486,X:109641335-109733257,LittleEvidence,NoEvidence,6/10/2025
ACTA2,HGNC:130,10:90694831-90751154,10:88935074-88991337,LittleEvidence,NoEvidence,9/28/2022
ACTC1,HGNC:143,15:35082431-35087750,15:34790230-34795549,LittleEvidence,NoEvidence,9/10/2024
AKT3,HGNC:393,1:243651535-244014381,1:243488233-243851079,LittleEvidence,NoEvidence,5/9/2023
ALG13,HGNC:30881,X:110924398-111003877,X:111681170-111760649,LittleEvidence,NoEvidence,4/23/2025
ASTN2,HGNC:17021,9:119185391-120177335,9:116423112-117415057,LittleEvidence,NoEvidence,3/9/2021
ATR,HGNC:882,3:142168077-142297575,3:142449235-142578733,LittleEvidence,NoEvidence,6/5/2020
BAZ2B,HGNC:963,2:160175490-160568953,2:159315312-159712442,LittleEvidence,NoEvidence,12/1/2025
BCLAF1,HGNC:16863,6:136577765-136610984,6:136256627-136289846,LittleEvidence,NoEvidence,6/28/2018
CACNA1C,HGNC:1390,12:2162153-2807116,12:1970780-2697950,LittleEvidence,NoEvidence,3/24/2016
CACNA1E,HGNC:1392,1:181452653-181777219,1:181317699-181808084,LittleEvidence,NoEvidence,9/10/2024
CAMK2A,HGNC:1460,5:149599054-149669693,5:150219491-150290130,LittleEvidence,NoEvidence,5/24/2023
CAMK2B,HGNC:1461,7:44256753-44365193,7:44217154-44326013,LittleEvidence,NoEvidence,1/25/2023
CAPRIN1,HGNC:6743,11:34073278-34124157,11:34051731-34102610,LittleEvidence,NoEvidence,7/24/2024
CASP10,HGNC:1500,2:202047864-202094129,2:201183141-201229406,LittleEvidence,NoEvidence,4/10/2020
CASZ1,HGNC:26002,1:10696661-10856703,1:10636604-10796646,LittleEvidence,NoEvidence,4/25/2019
CCNQ,HGNC:28434,X:152853383-152864595,X:153587925-153599139,LittleEvidence,NoEvidence,6/11/2024
CELF4,HGNC:14015,18:34823003-35145761,18:37242844-37565798,LittleEvidence,NoEvidence,12/7/2022
CHAMP1,HGNC:20311,13:115079978-115092797,13:114314503-114327322,LittleEvidence,NoEvidence,6/10/2025
CHD4,HGNC:1919,12:6679248-6716545,12:6570082-6607379,LittleEvidence,NoEvidence,11/30/2022
CHD5,HGNC:16816,1:6161847-6240381,1:6101787-6180321,LittleEvidence,NoEvidence,9/27/2022
CLCN4,HGNC:2022,X:10125015-10205700,X:10156975-10237660,LittleEvidence,NoEvidence,7/27/2022
CNOT2,HGNC:7878,12:70636798-70748773,12:70243018-70354993,LittleEvidence,NoEvidence,11/8/2022
CNTNAP2,HGNC:13830,7:145813893-148118090,7:146116801-148420998,LittleEvidence,NoEvidence,10/23/2019
CNTNAP5,HGNC:18748,2:124782864-125678796,2:124025287-124921219,LittleEvidence,NoEvidence,9/24/2024
COL11A1,HGNC:2186,1:103342029-103574078,1:102876473-103108522,LittleEvidence,NoEvidence,10/19/2011
CRIPTO,HGNC:11701,3:46616025-46623947,3:46574535-46582457,LittleEvidence,NoEvidence,12/27/2011
CRKL,HGNC:2363,22:21271695-21308035,22:20917407-20953747,LittleEvidence,NoEvidence,4/13/2020
CSMD1,HGNC:14026,8:2792883-4852436,8:2935361-4994914,LittleEvidence,NoEvidence,10/8/2024
CSNK2A1,HGNC:2457,20:453142-524434,20:472498-543790,LittleEvidence,NoEvidence,6/26/2024
CTNND2,HGNC:2516,5:10971948-11904558,5:10971836-11904446,LittleEvidence,NoEvidence,10/12/2021
DCHS1,HGNC:13681,11:6642561-6677040,11:6621330-6655809,LittleEvidence,NoEvidence,8/31/2018
DIP2A,HGNC:17217,21:47878804-47991139,21:46458891-46583871,LittleEvidence,NoEvidence,1/23/2019
DIS3L2,HGNC:28648,2:232826423-233209060,2:231961713-232344350,LittleEvidence,NoEvidence,10/14/2020
DKC1,HGNC:2890,X:153991139-154005964,X:154762864-154777689,LittleEvidence,NoEvidence,6/14/2023
DLG2,HGNC:2901,11:83166055-85339417,11:83455012-85628373,LittleEvidence,NoEvidence,11/28/2018
DMRT1,HGNC:2934,9:841697-969090,9:841697-969090,LittleEvidence,NoEvidence,11/10/2023
DNAJC21,HGNC:27030,5:34929664-34959069,5:34929559-34958964,LittleEvidence,NoEvidence,10/14/2020
DPP6,HGNC:3010,7:153445218-154685995,7:153748133-154894285,LittleEvidence,NoEvidence,6/26/2019
DSC2,HGNC:3036,18:28638806-28682384,18:31058840-31102421,LittleEvidence,NoEvidence,4/24/2024
EDNRB,HGNC:3180,13:78469616-78549662,13:77895481-77975527,LittleEvidence,NoEvidence,2/7/2022
ELANE,HGNC:3309,19:852303-856243,19:852303-856243,LittleEvidence,NoEvidence,7/13/2022
ELAVL2,HGNC:3313,9:23690102-23850599,9:23690104-23850601,LittleEvidence,NoEvidence,11/28/2018
EMX2,HGNC:3341,10:119302257-119309057,10:117542746-117549546,LittleEvidence,NoEvidence,11/9/2021
ERBB4,HGNC:3432,2:212240442-213403526,2:211375717-212538802,LittleEvidence,NoEvidence,10/23/2024
ERMARD,HGNC:21056,6:170151718-170181696,6:169751306-169781600,LittleEvidence,NoEvidence,11/13/2013
FAS,HGNC:11920,10:90750555-90776816,10:88964050-89017059,LittleEvidence,NoEvidence,2/8/2022
GABRA1,HGNC:4075,5:161274197-161326977,5:161847191-161899971,LittleEvidence,NoEvidence,11/9/2021
GABRG2,HGNC:4087,5:161494471-161582545,5:162067465-162155539,LittleEvidence,NoEvidence,9/25/2018
GALNT12,HGNC:19877,9:101569952-101612363,9:98807670-98850081,LittleEvidence,NoEvidence,9/9/2019
GDI1,HGNC:4226,X:153665500-153671814,X:154437154-154443467,LittleEvidence,NoEvidence,6/22/2022
GIGYF2,HGNC:11960,2:233562041-233725315,2:232697331-232860605,LittleEvidence,NoEvidence,8/24/2022
GJA5,HGNC:4279,1:147228332-147245455,1:147756199-147773351,LittleEvidence,NoEvidence,2/23/2012
GNAO1,HGNC:4389,16:56225401-56391356,16:56191489-56357444,LittleEvidence,NoEvidence,5/10/2022
GNB1,HGNC:4396,1:1716725-1822526,1:1785286-1891087,LittleEvidence,NoEvidence,1/23/2019
GPHN,HGNC:15465,14:66974865-67648520,14:66508147-67735355,LittleEvidence,NoEvidence,6/11/2024
GRIA3,HGNC:4573,X:122318131-122624766,X:123184278-123490915,LittleEvidence,NoEvidence,3/29/2024
HDAC4,HGNC:14063,2:239969864-240323343,2:239048168-239401649,LittleEvidence,NoEvidence,7/16/2024
HIVEP3,HGNC:13561,1:41972036-42501605,1:41506365-42035934,LittleEvidence,NoEvidence,1/23/2019
HMGA2,HGNC:5009,12:66218240-66360071,12:65824460-65966291,LittleEvidence,NoEvidence,9/14/2021
HNRNPC,HGNC:5035,14:21677306-21737601,14:21209147-21269442,LittleEvidence,NoEvidence,11/29/2023
IRF2BPL,HGNC:14282,14:77490886-77495051,14:77024543-77028708,LittleEvidence,NoEvidence,6/10/2025
ITPR1,HGNC:6180,3:4535032-4889190,3:4493348-4847506,LittleEvidence,NoEvidence,10/12/2023
